Namn;URL;Location;Date;Latitude;Longitude
Marathon du Medoc;https://raceraves.com/races/medoc-marathon/;Pauillac, France ; Sep 7, 2019;45.1995626;-0.7484994
IRONMAN Italy Emilia-Romagna;https://raceraves.com/races/ironman-italy-emilia-romagna/;Cervia, Italy ; Sep 21, 2019;44.2609836;12.3495462
World’s Fastest Marathon;https://raceraves.com/races/worlds-fastest-marathon/;Pradollano, Sierra Nevada, Spain ; Sep 22, 2019;37.0948755;-3.3991152
Stone Wall Marathon;https://raceraves.com/races/stone-wall-marathon/;Ston, Croatia ; Sep 22, 2019;42.8383616;17.6962001
Valamar Trail;https://raceraves.com/races/valamar-trail/;Labin, Croatia ; Sep 28, 2019;45.094851;14.1231931
IRONMAN Barcelona;https://raceraves.com/races/ironman-barcelona/;Calella, Spain ; Oct 6, 2019;41.6132925;2.6576102
Lyon Marathon;https://raceraves.com/races/lyon-marathon/;Lyon, France ; Oct 6, 2019;45.6963425;4.73594802991681
Palma Marathon Mallorca;https://raceraves.com/races/palma-marathon-mallorca/;Palma de Mallorca, Spain ; Oct 13, 2019;39.5695818;2.6500745
Zagreb Marathon;https://raceraves.com/races/zagreb-marathon-half-marathon-citizens-race/;Zagreb, Croatia ; Oct 13, 2019;45.813177;15.977048
Bilbao Night Marathon;https://raceraves.com/races/bilbao-night-marathon/;Bilbao, Spain ; Oct 19, 2019;43.2630051;-2.9349915
Chianti (We Run Italy);https://raceraves.com/races/chianti-we-run-italy/;Chianti, Italy ; Oct 20, 2019;43.7043073;11.1048413
Marathon de Toulouse Metropole;https://raceraves.com/races/marathon-de-toulouse-metropole/;Toulouse, France ; Oct 20, 2019;43.6044622;1.4442469
Ecomaratona del Chianti;https://raceraves.com/races/ecomaratona-del-chianti/;Sienna, Italy ; Oct 20, 2019;46.7665734;12.1704695
Venice Marathon;https://raceraves.com/races/venice-marathon/;Venice, Italy ; Oct 27, 2019;45.4371908;12.3345898
French Riviera Marathon;https://raceraves.com/races/french-riviera-marathon/;Nice, France ; Nov 3, 2019;43.7009358;7.2683912
Lake Maggiore Marathon;https://raceraves.com/races/lake-maggiore-marathon/;Pallanza Verbania, Italy ; Nov 3, 2019;45.9240841;8.5524086
Turin Marathon;https://raceraves.com/races/turin-marathon/;Turin, Italy ; Nov 3, 2019;45.0677551;7.6824892
Athens Marathon. The Authentic;https://raceraves.com/races/athens-marathon-the-authentic/;Athens, Greece ; Nov 9–10, 2019;37.9841493;23.7279843
Ravenna Marathon City of Art;https://raceraves.com/races/ravenna-marathon-city-of-art/;Ravenna, Italy ; Nov 10, 2019;44.4161414;12.2017617
Verona Marathon;https://raceraves.com/races/verona-marathon/;Verona, Italy ; Nov 17, 2019;45.4384958;10.9924122
Palermo City Marathon;https://raceraves.com/races/palermo-city-marathon/;Palermo, Italy ; Nov 17, 2019;38.1112268;13.3524434
Beaujolais International Marathon;https://raceraves.com/races/beaujolais-international-marathon/;Villefranche-sur-Saone, France ; Nov 23, 2019;45.9864749;4.726611
Marathon de La Rochelle Serge Vigot;https://raceraves.com/races/marathon-de-la-rochelle-serge-vigot/;La Rochelle, France ; Nov 24, 2019;46.1591126;-1.1520434
Donostia – San Sebastian Marathon;https://raceraves.com/races/donostia-san-sebastian-marathon/;San Sebastian, Spain ; Nov 24, 2019;43.3224219;-1.9838889
Firenze (Florence) Marathon;https://raceraves.com/races/firenze-florence-marathon/;Florence, Italy ; Nov 24, 2019;43.7698712;11.2555757
Trinidad Alfonso Valencia Marathon;https://raceraves.com/races/trinidad-alfonso-valencia-marathon/;Valencia, Spain ; Dec 1, 2019;39.4699014;-0.3759513
K42 Canarias Anaga Marathon;https://raceraves.com/races/k42-canarias-anaga-marathon/;San Cristóbal de La Laguna, Spain ; Dec 6–8, 2019;28.4857715;-16.3159422
Malaga Marathon;https://raceraves.com/races/malaga-marathon/;Malaga, Spain ; Dec 15, 2019;36.7213028;-4.4216366
Pisa Marathon;https://raceraves.com/races/pisa-marathon/;Pisa, Italy ; Dec 15, 2019;43.7159395;10.4018624
